Date,EUR/USD Close,EUR/USD High,EUR/USD Low
10/30/2015,1.0996,1.10723,1.09659
11/2/2015,1.1008,1.10526,1.10003
11/3/2015,1.0965,1.103,1.09362
11/4/2015,1.0862,1.09676,1.08446
11/5/2015,1.0881,1.08973,1.08339
11/6/2015,1.0741,1.0894,1.0706
11/9/2015,1.0758,1.079,1.072
11/10/2015,1.07134,1.0764,1.06746
11/11/2015,1.074,1.07738,1.07058
11/12/2015,1.0811,1.083,1.06914
11/13/2015,1.07436,1.0817,1.07144
11/16/2015,1.06823,1.0758,1.06749
11/17/2015,1.0648,1.06909,1.06308
11/18/2015,1.06542,1.06925,1.06175
11/19/2015,1.0733,1.0763,1.06559
11/20/2015,1.0647,1.0738,1.0641
11/23/2015,1.06271,1.06565,1.05927
11/24/2015,1.0646,1.06732,1.062
11/25/2015,1.06181,1.06891,1.05662
11/26/2015,1.0606,1.0628,1.06002
11/27/2015,1.05955,1.0638,1.05687
11/30/2015,1.05697,1.05948,1.0558
12/1/2015,1.0632,1.0637,1.05637
12/2/2015,1.062,1.06359,1.0551
12/3/2015,1.09557,1.09811,1.05236
12/4/2015,1.08699,1.09562,1.08364
12/7/2015,1.0847,1.08871,1.07963
12/8/2015,1.0888,1.09026,1.08306
12/9/2015,1.10291,1.10427,1.08795
12/10/2015,1.0937,1.1025,1.09256
12/11/2015,1.0991,1.10305,1.09269
12/14/2015,1.0996,1.10487,1.09459
12/15/2015,1.09137,1.10594,1.09049
12/16/2015,1.09165,1.10119,1.0888
12/17/2015,1.0804,1.09138,1.08029
12/18/2015,1.08661,1.08743,1.08052
12/21/2015,1.09248,1.09388,1.08485
12/22/2015,1.0954,1.0984,1.09027
12/23/2015,1.0922,1.09566,1.08702
12/24/2015,1.0952,1.0967,1.09049
12/25/2015,1.0963,1.09732,1.09438
12/28/2015,1.0972,1.09924,1.0954
12/29/2015,1.09324,1.09914,1.08994
12/30/2015,1.0931,1.09435,1.09024
12/31/2015,1.0864,1.0937,1.0852
1/1/2016,1.0864,1.0937,1.0852
1/4/2016,1.08311,1.09463,1.07814
1/5/2016,1.0744,1.08387,1.0711
1/6/2016,1.0786,1.07992,1.07156
1/7/2016,1.09258,1.09401,1.07715
1/8/2016,1.09172,1.09331,1.08036
1/11/2016,1.086,1.09697,1.0848
1/12/2016,1.08461,1.09001,1.08199
1/13/2016,1.0872,1.0884,1.0805
1/14/2016,1.0857,1.09432,1.0835
1/15/2016,1.0913,1.09845,1.0855
